CSV,mode,N,steps,L,dt,rc,rs,time_ms,E_drift%
[MODE] CPU N=500 steps=2000 L=8.39798 dt=0.00462 rc=2.5 rs=2.8 time_ms=16026.8 E_drift%=0
CSV,CPU,500,2000,8.39798,0.00462,2.5,2.8,16026.8,0
[MODE] CPU N=1000 steps=2000 L=10.5808 dt=0.00462 rc=2.5 rs=2.8 time_ms=41521.7 E_drift%=0
CSV,CPU,1000,2000,10.5808,0.00462,2.5,2.8,41521.7,0
[MODE] CPU N=2000 steps=2000 L=13.331 dt=0.00462 rc=2.5 rs=2.8 time_ms=91216.9 E_drift%=0
CSV,CPU,2000,2000,13.331,0.00462,2.5,2.8,91216.9,0
[MODE] CPU N=5000 steps=2000 L=18.0929 dt=0.00462 rc=2.5 rs=2.8 time_ms=385178 E_drift%=0
CSV,CPU,5000,2000,18.0929,0.00462,2.5,2.8,385178,0
[MODE] CPU N=10000 steps=2000 L=22.7956 dt=0.00462 rc=2.5 rs=2.8 time_ms=1.12984e+06 E_drift%=0
CSV,CPU,10000,2000,22.7956,0.00462,2.5,2.8,1.12984e+06,0
[MODE] GPU N=500 steps=2000 L=8.39798 dt=0.00462 rc=2.5 rs=2.8 time_ms=570.275 E_drift%=0
CSV,GPU,500,2000,8.39798,0.00462,2.5,2.8,570.275,0
[MODE] GPU N=1000 steps=2000 L=10.5808 dt=0.00462 rc=2.5 rs=2.8 time_ms=992.907 E_drift%=0
CSV,GPU,1000,2000,10.5808,0.00462,2.5,2.8,992.907,0
[MODE] GPU N=2000 steps=2000 L=13.331 dt=0.00462 rc=2.5 rs=2.8 time_ms=1044.24 E_drift%=0
CSV,GPU,2000,2000,13.331,0.00462,2.5,2.8,1044.24,0
[MODE] GPU N=5000 steps=2000 L=18.0929 dt=0.00462 rc=2.5 rs=2.8 time_ms=1386.44 E_drift%=0
CSV,GPU,5000,2000,18.0929,0.00462,2.5,2.8,1386.44,0
[MODE] GPU N=10000 steps=2000 L=22.7956 dt=0.00462 rc=2.5 rs=2.8 time_ms=2206.45 E_drift%=0
CSV,GPU,10000,2000,22.7956,0.00462,2.5,2.8,2206.45,0
